Variable,TABLA,TABLA INSUMO
avg_util_interna_u10m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_util_interna_u11m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_util_interna_u12m,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_pnd_mas_util_interna_u01,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_pnd_mas_util_interna_u02,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_pnd_mas_util_interna_u03,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_pnd_mas_util_interna_u04,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_pnd_mas_util_interna_u05,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_pnd_mas_util_interna_u06,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_pnd_mas_util_interna_u07,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_pnd_mas_util_interna_u08,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_pnd_mas_util_interna_u09,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_pnd_mas_util_interna_u10,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_pnd_mas_util_interna_u11,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_pnd_mas_util_interna_u12,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_pnd_menos_util_interna_u01,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_pnd_menos_util_interna_u02,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_pnd_menos_util_interna_u03,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_pnd_menos_util_interna_u04,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_pnd_menos_util_interna_u05,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_pnd_menos_util_interna_u06,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_pnd_menos_util_interna_u07,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_pnd_menos_util_interna_u08,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_pnd_menos_util_interna_u09,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_pnd_menos_util_interna_u10,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_pnd_menos_util_interna_u11,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
avg_pnd_menos_util_interna_u12,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
num_inc_util_interna_t01,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
num_inc_util_interna_t02,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
num_inc_util_interna_t03,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
num_inc_util_interna_t04,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
num_inc_util_interna_t05,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
num_inc_util_interna_t06,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
num_inc_util_interna_t07,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
num_inc_util_interna_t08,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
num_inc_util_interna_t09,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
num_inc_util_interna_t10,dbriskdatamart.JAT_MCV_VAR_INTERNAS,dbriskdatamart.Tbl_CarteraCrediticia & dbriskdatamart.Tbl_MovimientoLineas & dbriskdatamart.Tbl_Cat_Alerta_Temp
