VARIABLE,TABLA,TABLA INSUMO
NUM_OTHER_FIN_R_OP_ACC     ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_OTHER_FIN_CF_OP_ACC    ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_OTHER_FIN_OTHER_OP_ACC ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_GBN_OP_ACC             ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_GBN_PQ_OP_ACC          ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_GBN_CS_OP_ACC          ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_GBN_LSG_OP_ACC         ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_GBN_R_OP_ACC           ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_GBN_CF_OP_ACC          ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_GBN_OTHER_OP_ACC       ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_BRG_OP_ACC             ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_BRG_PQ_OP_ACC          ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_BRG_CS_OP_ACC          ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_BRG_LSG_OP_ACC         ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_BRG_R_OP_ACC           ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_BRG_CF_OP_ACC          ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_BRG_OTHER_OP_ACC       ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_BRG_LSE_OP_ACC         ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_BRG_LSE_PQ_OP_ACC      ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_BRG_LSE_CS_OP_ACC      ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_BRG_LSE_LSG_OP_ACC     ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_BRG_LSE_R_OP_ACC       ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_BRG_LSE_CF_OP_ACC      ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_BRG_LSE_OTHER_OP_ACC   ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_CL_ACC                 ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_BK_CL_ACC              ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_BK_PQ_CL_ACC           ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_BK_CS_CL_ACC           ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_BK_LSG_CL_ACC          ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
NUM_BK_R_CL_ACC            ,dbriskdatamart.MZM_MCV_VAR_CR_RESUMEN__${FECHA_CALIFICACION},MZM_MCV_CR__${FECHA_CALIFICACION} /MZM_MCV_CREDITOS_LIQUIDADOS__${FECHA_CALIFICACION} /tbl_burocalificapm_recurrente
