VARIABLE,TABLA,TABLA INSUMO
max_max_mop_hist_24m_tu_all,btdc_lgg_var_max_mop_hist_24m,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_2 /dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 /dbriskdatamart.tbl_buroconsulta_recurrente
max_cred_max_pl,btdc_lgg_var_cred_max,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_3/ dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 / dbriskdatamart.tbl_buroconsulta_recurrente
max_dlq_bal_tu_all_op_acc,btdc_lgg_var_dlq_bal,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
max_num_dec_mop_bk_cl_acc,btdc_lgg_var_num_dec_mop,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_3/ dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 / dbriskdatamart.tbl_buroconsulta_recurrente
min_avg_mop_r_cl_acc,btdc_lgg_var_avg_mop,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_2 /dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 /dbriskdatamart.tbl_buroconsulta_recurrente
num_max_mop_hist_24m_amx,btdc_lgg_var_max_mop_hist_24m,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_2 /dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 /dbriskdatamart.tbl_buroconsulta_recurrente
max_pct_dlq_bal_bk_op_acc,btdc_lgg_var_pct_dlq_bal,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
max_mop_lt2_nbk,btdc_lgg_var_mop_lt2,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_3/ dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 / dbriskdatamart.tbl_buroconsulta_recurrente
max_num_pmt_tu_all,btdc_lgg_var_num_pmt,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
num_max_mop_hist_24m_au,btdc_lgg_var_max_mop_hist_24m,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_2 /dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 /dbriskdatamart.tbl_buroconsulta_recurrente
sum_max_mop_hist_24m_r,btdc_lgg_var_max_mop_hist_24m,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_2 /dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 /dbriskdatamart.tbl_buroconsulta_recurrente
sum_max_mop_bal_bk,btdc_lgg_var_max_mop_bal,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_2 /dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 /dbriskdatamart.tbl_buroconsulta_recurrente
sum_ms_lst_pay_nbk_cl_acc,btdc_lgg_var_ms_lst_pay,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
max_max_mop_bal_r_op_acc,btdc_lgg_var_max_mop_bal,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_2 /dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 /dbriskdatamart.tbl_buroconsulta_recurrente
sum_num_dec_mop_tu_cl_acc,btdc_lgg_var_num_dec_mop,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_3/ dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 / dbriskdatamart.tbl_buroconsulta_recurrente
max_max_mop_hist_12m_nbk_tu,btdc_lgg_var_max_mop_hist_12m,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_2 /dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 /dbriskdatamart.tbl_buroconsulta_recurrente
dif_ms_lst_pay_bk_r_op_acc,btdc_lgg_var_ms_lst_pay,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
max_cur_bal_bk_r_op_acc,btdc_lgg_var_cur_bal,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
avg_d_ms_op_to_ms_cl_bk_pl_cl_acc,btdc_lgg_var_d_ms_op_to_ms_cl,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
avg_avg_mop_au,btdc_lgg_var_avg_mop,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_2 /dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 /dbriskdatamart.tbl_buroconsulta_recurrente
num_d_ms_op_to_ms_max_mop_pl,btdc_lgg_var_d_ms_op_to_ms_max_mop,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
num_r_cred_max_by_num_pmt_bk_m,btdc_lgg_var_r_cred_max_by_num_pmt,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
sum_ms_lst_pay_r_cl_acc,btdc_lgg_var_ms_lst_pay,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
sum_max_mop_hist_24m_m,btdc_lgg_var_max_mop_hist_24m,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_2 /dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 /dbriskdatamart.tbl_buroconsulta_recurrente
sum_cur_bal_nbk_op_acc,btdc_lgg_var_cur_bal,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
sum_d_cur_bal_to_pmt_nbk_r_op_acc,btdc_lgg_var_d_cur_bal_to_pmt,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
max_d_ms_lst_buy_to_ms_lst_pay_r_op_acc,btdc_lgg_var_d_ms_lst_buy_to_ms_lst_pay,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
sum_max_mop_hist_06m,btdc_lgg_var_max_mop_hist_06m,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_2 /dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 /dbriskdatamart.tbl_buroconsulta_recurrente
min_num_grw_mop_tu_op_acc,btdc_lgg_var_num_grw_mop,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_3/ dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 / dbriskdatamart.tbl_buroconsulta_recurrente
sum_max_mop_hist_06m_tu_op_acc,btdc_lgg_var_max_mop_hist_06m,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_2 /dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 /dbriskdatamart.tbl_buroconsulta_recurrente
dif_num_dlq_bal_tu,btdc_lgg_var_num_dlq_bal,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
num_log_base_mop_of_bal_mop_bk_pl,btdc_lgg_var_log_base_mop_of_bal_mop,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_3/ dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 / dbriskdatamart.tbl_buroconsulta_recurrente
sum_cred_max_bk_r_op_acc,btdc_lgg_var_cred_max,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_3/ dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 / dbriskdatamart.tbl_buroconsulta_recurrente
avg_r_mop_bal_by_cred_max_bk_pl,btdc_lgg_var_r_mop_bal_by_cred_max,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
max_mop_lt2_nbk_r_op_acc,btdc_lgg_var_mop_lt2,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_3/ dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 / dbriskdatamart.tbl_buroconsulta_recurrente
avg_num_dlq_bal_bk_pl,btdc_lgg_var_num_dlq_bal,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
max_cur_bal_nbk_tu_op_acc,btdc_lgg_var_cur_bal,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
avg_m_mop_cl_acc,btdc_lgg_var_m_mop,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_2 /dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 /dbriskdatamart.tbl_buroconsulta_recurrente
dif_ms_op_r,btdc_lgg_var_ms_op,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1/dbmymwork.BTDC_LGG_CUENTAS3/ dbriskdatamart.tbl_buroconsulta_recurrente
avg_avg_mop_op_acc,btdc_lgg_var_avg_mop,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_2 /dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 /dbriskdatamart.tbl_buroconsulta_recurrente
max_mop_lt2_tu_all_cl_acc,btdc_lgg_var_mop_lt2,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_3/ dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 / dbriskdatamart.tbl_buroconsulta_recurrente
sum_cred_max_bk_pl,btdc_lgg_var_cred_max,dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_3/ dbmymwork.BTDC_LGG_VAR_SEGMENTADAS_1 & dbmymwork.BTDC_LGG_CUENTAS3 / dbriskdatamart.tbl_buroconsulta_recurrente
