VARIABLE,TABLA,TABLA INSUMO
D.MAX_MAX_VP_MES_U06M_2,,dbmymwork.JAT_MCV_VARIABLES_VP_${FECHA_CALIFICACION},BANREGIO_BOI.voluntaddepago_diario 
G.DS_CL,,dbriskdatamart.JAT_MCV_VAR_MOVIMIENTOS_LINEA__${FECHA_CALIFICACION},dbriskdatamart.Tbl_carteracrediticia / dbriskdatamart.Tbl_Rep_Reservas_SegPer_CV / dbriskdatamart.MZM_MCV_MOVIMIENTO_LINEAS_COPIA / DBRISKDATAMART.TBL_DEMOGRAFICOS_IDORIGINAL 
G.DS_OL_CL,,dbriskdatamart.JAT_MCV_VAR_MOVIMIENTOS_LINEA__${FECHA_CALIFICACION},dbriskdatamart.Tbl_carteracrediticia / dbriskdatamart.Tbl_Rep_Reservas_SegPer_CV / dbriskdatamart.MZM_MCV_MOVIMIENTO_LINEAS_COPIA / DBRISKDATAMART.TBL_DEMOGRAFICOS_IDORIGINAL 
G.MS_OP AS LAG_ANTIG,,dbriskdatamart.JAT_MCV_VAR_MOVIMIENTOS_LINEA__${FECHA_CALIFICACION},dbriskdatamart.Tbl_carteracrediticia / dbriskdatamart.Tbl_Rep_Reservas_SegPer_CV / dbriskdatamart.MZM_MCV_MOVIMIENTO_LINEAS_COPIA / DBRISKDATAMART.TBL_DEMOGRAFICOS_IDORIGINAL 
G.MS_OP,,dbriskdatamart.JAT_MCV_VAR_MOVIMIENTOS_LINEA__${FECHA_CALIFICACION},dbriskdatamart.Tbl_carteracrediticia / dbriskdatamart.Tbl_Rep_Reservas_SegPer_CV / dbriskdatamart.MZM_MCV_MOVIMIENTO_LINEAS_COPIA / DBRISKDATAMART.TBL_DEMOGRAFICOS_IDORIGINAL 
H.AVG_PND_MAS_R_BAL_BY_CRED_LIM_06M,,dbriskdatamart.MZM_MCV_R_BAL_BY_CRED_LIM__${FECHA_CALIFICACION},dbriskdatamart.Tbl_carteracrediticia / dbriskdatamart.Tbl_Rep_Reservas_SegPer_CV  
H.AVG_PND_MAS_R_BAL_BY_CRED_LIM_12M,,dbriskdatamart.MZM_MCV_R_BAL_BY_CRED_LIM__${FECHA_CALIFICACION},dbriskdatamart.Tbl_carteracrediticia / dbriskdatamart.Tbl_Rep_Reservas_SegPer_CV  
H.AVG_PND_MENOS_R_BAL_BY_CRED_LIM_06M,,dbriskdatamart.MZM_MCV_R_BAL_BY_CRED_LIM__${FECHA_CALIFICACION},dbriskdatamart.Tbl_carteracrediticia / dbriskdatamart.Tbl_Rep_Reservas_SegPer_CV  
H.AVG_PND_MENOS_R_BAL_BY_CRED_LIM_12M,,dbriskdatamart.MZM_MCV_R_BAL_BY_CRED_LIM__${FECHA_CALIFICACION},dbriskdatamart.Tbl_carteracrediticia / dbriskdatamart.Tbl_Rep_Reservas_SegPer_CV  
H.AVG_R_BAL_BY_CRED_LIM_12M,,dbriskdatamart.MZM_MCV_R_BAL_BY_CRED_LIM__${FECHA_CALIFICACION},dbriskdatamart.Tbl_carteracrediticia / dbriskdatamart.Tbl_Rep_Reservas_SegPer_CV  
H.MAX_R_BAL_BY_CRED_LIM_03M,,dbriskdatamart.MZM_MCV_R_BAL_BY_CRED_LIM__${FECHA_CALIFICACION},dbriskdatamart.Tbl_carteracrediticia / dbriskdatamart.Tbl_Rep_Reservas_SegPer_CV  
H.MAX_R_BAL_BY_CRED_LIM_06M,,dbriskdatamart.MZM_MCV_R_BAL_BY_CRED_LIM__${FECHA_CALIFICACION},dbriskdatamart.Tbl_carteracrediticia / dbriskdatamart.Tbl_Rep_Reservas_SegPer_CV  
H.MAX_R_BAL_BY_CRED_LIM_12M,,dbriskdatamart.MZM_MCV_R_BAL_BY_CRED_LIM__${FECHA_CALIFICACION},dbriskdatamart.Tbl_carteracrediticia / dbriskdatamart.Tbl_Rep_Reservas_SegPer_CV  
H.MIN_R_BAL_BY_CRED_LIM_03M,,dbriskdatamart.MZM_MCV_R_BAL_BY_CRED_LIM__${FECHA_CALIFICACION},dbriskdatamart.Tbl_carteracrediticia / dbriskdatamart.Tbl_Rep_Reservas_SegPer_CV  
H.MIN_R_BAL_BY_CRED_LIM_06M,,dbriskdatamart.MZM_MCV_R_BAL_BY_CRED_LIM__${FECHA_CALIFICACION},dbriskdatamart.Tbl_carteracrediticia / dbriskdatamart.Tbl_Rep_Reservas_SegPer_CV  
H.MIN_R_BAL_BY_CRED_LIM_12M,,dbriskdatamart.MZM_MCV_R_BAL_BY_CRED_LIM__${FECHA_CALIFICACION},dbriskdatamart.Tbl_carteracrediticia / dbriskdatamart.Tbl_Rep_Reservas_SegPer_CV  
H.R_BAL_BY_CRED_LIM,,dbriskdatamart.MZM_MCV_R_BAL_BY_CRED_LIM__${FECHA_CALIFICACION},dbriskdatamart.Tbl_carteracrediticia / dbriskdatamart.Tbl_Rep_Reservas_SegPer_CV  
P.MIN_R_BAL_BY_MAX_BAL_06M,,dbriskdatamart.MZM_MCV_R_BAL_BY_MAX_BAL__${FECHA_CALIFICACION},dbriskdatamart.Tbl_Rep_Reservas_SegPer_CV / dbriskdatamart.MZM_MCV_BAL__${FECHA_CALIFICACION} / dbriskdatamart.MZM_MCV_BAL__${FECHA_CALIFICACION}
P.MIN_R_BAL_BY_MAX_BAL_12M,,dbriskdatamart.MZM_MCV_R_BAL_BY_MAX_BAL__${FECHA_CALIFICACION},dbriskdatamart.Tbl_Rep_Reservas_SegPer_CV / dbriskdatamart.MZM_MCV_BAL__${FECHA_CALIFICACION} / dbriskdatamart.MZM_MCV_BAL__${FECHA_CALIFICACION}
P.MIN_R_BAL_BY_MAX_BAL_06M,,dbriskdatamart.MZM_MCV_R_BAL_BY_MAX_BAL__${FECHA_CALIFICACION},dbriskdatamart.Tbl_Rep_Reservas_SegPer_CV / dbriskdatamart.MZM_MCV_BAL__${FECHA_CALIFICACION} / dbriskdatamart.MZM_MCV_BAL__${FECHA_CALIFICACION}
P.MIN_R_BAL_BY_MAX_BAL_12M,,dbriskdatamart.MZM_MCV_R_BAL_BY_MAX_BAL__${FECHA_CALIFICACION},dbriskdatamart.Tbl_Rep_Reservas_SegPer_CV / dbriskdatamart.MZM_MCV_BAL__${FECHA_CALIFICACION} / dbriskdatamart.MZM_MCV_BAL__${FECHA_CALIFICACION}
Q.MAX_ATR_U03M,,dbriskdatamart.MZM_MCV_VAR_VARIABLES_DIASATRASO2__${FECHA_CALIFICACION}, dbriskdatamart.MZM_MCV_DA_PASO1__${FECHA_CALIFICACION} / dbriskdatamart.TBL_CARTERACREDITICIA
Q.MAX_ATR_U09M,,dbriskdatamart.MZM_MCV_VAR_VARIABLES_DIASATRASO2__${FECHA_CALIFICACION}, dbriskdatamart.MZM_MCV_DA_PASO1__${FECHA_CALIFICACION} / dbriskdatamart.TBL_CARTERACREDITICIA
Q.MAX_ATR_U12M,dbriskdatamart.MZM_MCV_VAR_VARIABLES_DIASATRASO2__${FECHA_CALIFICACION}, dbriskdatamart.MZM_MCV_DA_PASO1__${FECHA_CALIFICACION} / dbriskdatamart.TBL_CARTERACREDITICIA
