VARIABLE,TABLA,TABLA INSUMO
K.AVG_SALINI_BRG_CL_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
K.AVG_SALINI_CL_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
K.AVG_SALINI_CL_ACC_12M,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
K.MAX_SALINI_BK_CL_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
K.MAX_SALINI_BK_CS_CL_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
K.MAX_SALINI_CL_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
K.MAX_SALINI_CL_ACC_06M,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
K.MAX_SALINI_CL_ACC_12M,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
K.MIN_SALINI_BK_CS_CL_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
K.MIN_SALINI_BRG_CL_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
K.MIN_SALINI_CL_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
K.MIN_SALINI_CL_ACC_06M,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
K.MIN_SALINI_CL_ACC_12M,,dbriskdatamart.MZM_MCV_VAR_CR_CL_ACC__${FECHA_CALIFICACION},mzm_mcv_creditos_liquidados__${fecha_calificacion}/ Tbl_BuroCreditosLiquidadosPM_recurrente
O.AVG_VIGENTEC_BK_OP_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_OP_ACC_10__${FECHA_CALIFICACION},mzm_mcv_creditos_activos__${fecha_calificacion} / tbl_burocreditosactivospm_recurrente 
O.MAX_VIGENTEC_OP_ACC,,dbriskdatamart.MZM_MCV_VAR_CR_OP_ACC_10__${FECHA_CALIFICACION},mzm_mcv_creditos_activos__${fecha_calificacion} / tbl_burocreditosactivospm_recurrente 
